DateTimeStamp,BASSpaceSP,CCValve,DAT,FanSS,FanStatus,HCValve,OADamper,OccupiedMode,SpaceTemp,Occ,stdbusinesshours
12/8/2017 4:50:00 PM,76,0,73.6,1,1,0,1,1,75.9,0,0
12/8/2017 5:00:00 PM,76,0,74.2,1,1,0,1,1,76.4,0,0
12/8/2017 5:10:00 PM,76,0,74.1,1,1,0,1,1,76.5,0,0
12/8/2017 5:20:00 PM,76,0,74.4,1,1,0,1,1,76.5,0,0
12/8/2017 5:30:00 PM,76,0,74.4,1,1,0,1,1,76.6,0,0
12/8/2017 5:40:00 PM,76,0,74.6,1,1,0,1,1,76.6,0,0
12/8/2017 5:50:00 PM,76,0,77.6,1,1,0,1,1,76.7,0,0
12/8/2017 6:00:00 PM,76,0,76.9,1,1,0,1,1,77.1,0,0
12/8/2017 6:10:00 PM,76,0,75.3,1,1,0,1,1,77.1,0,0
12/8/2017 6:20:00 PM,76,0,78.4,1,1,0,1,1,77.1,0,0
12/8/2017 6:30:00 PM,76,0,76.9,1,1,0,1,1,77.3,0,0
12/8/2017 6:40:00 PM,76,0,76.5,1,1,0,1,1,77.2,0,0
12/8/2017 6:50:00 PM,76,0,78.6,1,1,0,1,1,77.1,0,0
12/8/2017 7:00:00 PM,76,0,75.7,1,1,0,1,1,77.1,0,0
12/8/2017 7:10:00 PM,76,0,77.1,1,1,0,1,1,76.9,0,0
12/8/2017 7:20:00 PM,76,0,78.4,1,1,0,1,1,76.9,0,0
12/8/2017 7:30:00 PM,76,0,75.4,1,1,0,1,1,76.9,0,0
12/8/2017 7:40:00 PM,76,0,77.7,1,1,0,1,1,76.7,0,0
12/8/2017 7:50:00 PM,76,0,78.5,1,1,0,1,1,76.9,0,0
12/8/2017 8:00:00 PM,76,0,75.2,1,1,0,1,1,76.9,0,0
12/8/2017 8:10:00 PM,76,0,77.7,1,1,0,1,1,76.7,0,0
12/8/2017 8:20:00 PM,76,0,78.4,1,1,0,1,1,76.9,0,0
12/8/2017 8:30:00 PM,76,0,75.6,1,1,0,1,1,76.9,0,0
12/8/2017 8:40:00 PM,76,0,75.5,1,1,0,1,1,76.5,0,0
12/8/2017 8:50:00 PM,76,0,77.7,1,1,0,1,1,76.5,0,0
12/8/2017 9:00:00 PM,76,0,78.2,1,1,0,1,1,76.7,0,0
12/8/2017 9:10:00 PM,76,0,76.2,0,0,0,1,0,76.8,1,0
12/8/2017 9:20:00 PM,76,0,76,0,0,0,1,0,76.9,1,0
12/8/2017 9:30:00 PM,76,0,75.9,0,0,0,1,0,76.9,1,0
12/8/2017 9:40:00 PM,76,0,75.9,0,0,0,1,0,77,1,0
12/8/2017 9:50:00 PM,76,0,75.8,0,0,0,1,0,77,1,0
12/8/2017 10:00:00 PM,76,0,75.8,0,0,0,1,0,77,1,0
12/8/2017 10:10:00 PM,76,0,75.9,0,0,0,1,0,77.1,1,0
12/8/2017 10:20:00 PM,76,0,75.9,0,0,0,1,0,77,1,0
12/8/2017 10:30:00 PM,76,0,75.8,0,0,0,1,0,77.1,1,0
12/8/2017 10:40:00 PM,76,0,76,0,0,0,1,0,77,1,0
12/8/2017 10:50:00 PM,76,0,76.1,0,0,0,1,0,77,1,0
12/8/2017 11:00:00 PM,76,0,76.1,0,0,0,1,0,77,1,0
12/8/2017 11:10:00 PM,76,0,76.3,0,0,0,1,0,77.1,1,0
12/8/2017 11:20:00 PM,76,0,76.4,0,0,0,1,0,77.1,1,0
12/8/2017 11:30:00 PM,76,0,76.4,0,0,0,1,0,77,1,0
12/8/2017 11:40:00 PM,76,0,76.5,0,0,0,1,0,77.1,1,0
12/8/2017 11:50:00 PM,76,0,76.7,0,0,0,1,0,77,1,0
12/9/2017 12:00:00 AM,76,0,76.7,0,0,0,1,0,77,1,0
12/9/2017 12:10:00 AM,76,0,76.8,0,0,0,1,0,77,1,0
12/9/2017 12:20:00 AM,76,0,77,0,0,0,1,0,77,1,0
12/9/2017 12:30:00 AM,76,0,76.9,0,0,0,1,0,76.9,1,0
12/9/2017 12:40:00 AM,76,0,77,0,0,0,1,0,77,1,0
12/9/2017 12:50:00 AM,76,0,77.1,0,0,0,1,0,76.9,1,0
12/9/2017 1:00:00 AM,76,0,77.3,0,0,0,1,0,76.9,1,0
12/9/2017 1:10:00 AM,76,0,77.3,0,0,0,1,0,76.9,1,0
12/9/2017 1:20:00 AM,76,0,77.4,0,0,0,1,0,76.9,1,0
12/9/2017 1:30:00 AM,76,0,77.5,0,0,0,1,0,76.9,1,0
12/9/2017 1:40:00 AM,76,0,77.6,0,0,0,1,0,76.9,1,0
12/9/2017 1:50:00 AM,76,0,77.6,0,0,0,1,0,76.9,1,0
12/9/2017 2:00:00 AM,76,0,77.7,0,0,0,1,0,76.9,1,0
12/9/2017 2:10:00 AM,76,0,77.8,0,0,0,1,0,76.9,1,0
12/9/2017 2:20:00 AM,76,0,77.8,0,0,0,1,0,76.8,1,0
12/9/2017 2:30:00 AM,76,0,77.8,0,0,0,1,0,76.9,1,0
12/9/2017 2:40:00 AM,76,0,78,0,0,0,1,0,76.8,1,0
12/9/2017 2:50:00 AM,76,0,77.9,0,0,0,1,0,76.8,1,0
12/9/2017 3:00:00 AM,76,0,78,0,0,0,1,0,76.8,1,0
12/9/2017 3:10:00 AM,76,0,78,0,0,0,1,0,76.9,1,0
12/9/2017 3:20:00 AM,76,0,78,0,0,0,1,0,76.7,1,0
12/9/2017 3:30:00 AM,76,0,78,0,0,0,1,0,76.7,1,0
12/9/2017 3:40:00 AM,76,0,78.1,0,0,0,1,0,76.7,1,0
12/9/2017 3:50:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 4:00:00 AM,76,0,78,0,0,0,1,0,76.7,1,0
12/9/2017 4:10:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 4:20:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 4:30:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 4:40:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 4:50:00 AM,76,0,78.3,0,0,0,1,0,76.7,1,0
12/9/2017 5:00:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 5:10:00 AM,76,0,78.2,0,0,0,1,0,76.7,1,0
12/9/2017 5:20:00 AM,76,0,78.2,0,0,0,1,0,76.5,1,0
12/9/2017 5:30:00 AM,76,0,78.3,0,0,0,1,0,76.7,1,0
12/9/2017 5:40:00 AM,76,0,78.3,0,0,0,1,0,76.5,1,0
12/9/2017 5:50:00 AM,76,0,78.2,0,0,0,1,0,76.5,1,0
12/9/2017 6:00:00 AM,76,0,78.2,0,0,0,1,0,76.5,1,0
12/9/2017 6:10:00 AM,76,0,77.9,0,0,0,1,0,76.5,1,0
12/9/2017 6:20:00 AM,76,0,77.5,0,0,0,1,0,76.5,1,0
12/9/2017 6:30:00 AM,76,0,77.2,0,0,0,1,0,76.5,1,0
12/9/2017 6:40:00 AM,76,0,77,0,0,0,1,0,76.5,1,0
12/9/2017 6:50:00 AM,76,0,76.9,0,0,0,1,0,76.5,1,0
12/9/2017 7:00:00 AM,76,0,76.9,0,0,0,1,0,76.5,1,0
12/9/2017 7:10:00 AM,76,0,76.7,0,0,0,1,0,76.5,1,0
12/9/2017 7:20:00 AM,76,0,76.7,0,0,0,1,0,76.5,1,0
12/9/2017 7:30:00 AM,76,0,76.7,0,0,0,1,0,76.5,1,0
12/9/2017 7:40:00 AM,76,0,76,0,0,0,1,0,76.4,1,0
12/9/2017 7:50:00 AM,76,0,75.7,0,0,0,1,0,76.5,1,0
12/9/2017 8:00:00 AM,76,0,75.6,0,0,0,1,0,76.4,1,0
12/9/2017 8:10:00 AM,76,0,79.3,1,1,0,1,1,76.6,0,0
12/9/2017 8:20:00 AM,76,0,79,1,1,0,1,1,76.7,0,0
12/9/2017 8:30:00 AM,76,0,79.3,1,1,0,1,1,76.8,0,0
12/9/2017 8:40:00 AM,76,0,79.2,1,1,0,1,1,76.9,0,0
12/9/2017 8:50:00 AM,76,0,79.1,1,1,0,1,1,76.9,0,0
12/9/2017 9:00:00 AM,76,0,79.4,1,1,0,1,1,77.1,0,0
12/9/2017 9:10:00 AM,76,0,79.3,1,1,0,1,1,77,0,0
12/9/2017 9:20:00 AM,76,0,79.3,1,1,0,1,1,77.1,0,0
12/9/2017 9:30:00 AM,76,0,79.3,1,1,0,1,1,77.2,0,0
12/9/2017 9:40:00 AM,76,0,79.1,1,1,0,1,1,77.2,0,0
12/9/2017 9:50:00 AM,76,0,77.7,1,1,0,1,1,77.2,0,0
12/9/2017 10:00:00 AM,76,0,74.9,1,1,0,1,1,76.9,0,0
12/9/2017 10:10:00 AM,76,0,76.8,1,1,0,1,1,76.7,0,0
12/9/2017 10:20:00 AM,76,0,78,1,1,0,1,1,76.7,0,0
12/9/2017 10:30:00 AM,76,0,78.8,1,1,0,1,1,77,0,0
12/9/2017 10:40:00 AM,76,0,78.8,1,1,0,1,1,77.1,0,0
12/9/2017 10:50:00 AM,76,0,79,1,1,0,1,1,77.2,0,0
12/9/2017 11:00:00 AM,76,0,79.2,1,1,0,1,1,77.3,0,0
12/9/2017 11:10:00 AM,76,0,75.4,1,1,0,1,1,77.1,0,0
12/9/2017 11:20:00 AM,76,0,76.3,1,1,0,1,1,76.9,0,0
12/9/2017 11:30:00 AM,76,0,77.8,1,1,0,1,1,76.9,0,0
12/9/2017 11:40:00 AM,76,0,78.1,1,1,0,1,1,77,0,0
12/9/2017 11:50:00 AM,76,0,78.3,1,1,0,1,1,77.1,0,0
12/9/2017 12:00:00 PM,76,0,78.6,1,1,0,1,1,77.2,0,0
12/9/2017 12:10:00 PM,76,0,79,1,1,0,1,1,77.2,0,0
12/9/2017 12:20:00 PM,76,0,76.5,1,1,0,1,1,77.2,0,0
12/9/2017 12:30:00 PM,76,0,74.7,1,1,0,1,1,77,0,0
12/9/2017 12:40:00 PM,76,0,76.9,1,1,0,1,1,76.8,0,0
12/9/2017 12:50:00 PM,76,0,78.2,1,1,0,1,1,76.9,0,0
12/9/2017 1:00:00 PM,76,0,78.6,1,1,0,1,1,77,0,0
12/9/2017 1:10:00 PM,76,0,78.5,1,1,0,1,1,77.2,0,0
12/9/2017 1:20:00 PM,76,0,78.7,1,1,0,1,1,77.3,0,0
12/9/2017 1:30:00 PM,76,0,76.5,1,1,0,1,1,77.3,0,0
12/9/2017 1:40:00 PM,76,0,74.6,1,1,0,1,1,77,0,0
12/9/2017 1:50:00 PM,76,0,76.9,1,1,0,1,1,76.7,0,0
12/9/2017 2:00:00 PM,76,0,77.8,1,1,0,1,1,76.9,0,0
12/9/2017 2:10:00 PM,76,0,78.6,1,1,0,1,1,77,0,0
12/9/2017 2:20:00 PM,76,0,78.8,1,1,0,1,1,77.2,0,0
12/9/2017 2:30:00 PM,76,0,78.6,1,1,0,1,1,77.2,0,0
12/9/2017 2:40:00 PM,76,0,76.3,1,1,0,1,1,77.2,0,0
12/9/2017 2:50:00 PM,76,0,74.5,1,1,0,1,1,77,0,0
12/9/2017 3:00:00 PM,76,0,76.7,1,1,0,1,1,76.7,0,0
12/9/2017 3:10:00 PM,76,0,77.9,1,1,0,1,1,76.8,0,0
12/9/2017 3:20:00 PM,76,0,78.6,1,1,0,1,1,77,0,0
12/9/2017 3:30:00 PM,76,0,78.6,1,1,0,1,1,77.1,0,0
12/9/2017 3:40:00 PM,76,0,78.7,1,1,0,1,1,77.2,0,0
12/9/2017 3:50:00 PM,76,0,77.1,1,1,0,1,1,77.2,0,0
12/9/2017 4:00:00 PM,76,0,74.3,1,1,0,1,1,76.9,0,0
12/9/2017 4:10:00 PM,76,0,76.7,1,1,0,1,1,76.7,0,0
12/9/2017 4:20:00 PM,76,0,77.9,1,1,0,1,1,76.8,0,0
12/9/2017 4:30:00 PM,76,0,78.3,1,1,0,1,1,77,0,0
12/9/2017 4:40:00 PM,76,0,78.6,1,1,0,1,1,77,0,0
12/9/2017 4:50:00 PM,76,0,78.5,1,1,0,1,1,77.1,0,0
12/9/2017 5:00:00 PM,76,0,78.3,1,1,0,1,1,77.2,0,0
12/9/2017 5:10:00 PM,76,0,74.8,1,1,0,1,1,77,0,0
12/9/2017 5:20:00 PM,76,0,75.6,1,1,0,1,1,76.5,0,0
12/9/2017 5:30:00 PM,76,0,77.5,1,1,0,1,1,76.6,0,0
12/9/2017 5:40:00 PM,76,0,78.2,1,1,0,1,1,76.7,0,0
12/9/2017 5:50:00 PM,76,0,78.6,1,1,0,1,1,76.9,0,0
12/9/2017 6:00:00 PM,76,0,78.8,1,1,0,1,1,77,0,0
12/9/2017 6:10:00 PM,76,0,78.9,1,1,0,1,1,77.1,0,0
12/9/2017 6:20:00 PM,76,0,75.2,1,1,0,1,1,77,0,0
12/9/2017 6:30:00 PM,76,0,75.1,1,1,0,1,1,76.6,0,0
12/9/2017 6:40:00 PM,76,0,77,1,1,0,1,1,76.5,0,0
12/9/2017 6:50:00 PM,76,0,77.8,1,1,0,1,1,76.7,0,0
12/9/2017 7:00:00 PM,76,0,78.4,1,1,0,1,1,76.8,0,0
12/9/2017 7:10:00 PM,76,0,78.7,1,1,0,1,1,76.9,0,0
12/9/2017 7:20:00 PM,76,0,78.8,1,1,0,1,1,77,0,0
12/9/2017 7:30:00 PM,76,0,78,1,1,0,1,1,77.1,0,0
12/9/2017 7:40:00 PM,76,0,74.6,1,1,0,1,1,76.7,0,0
12/9/2017 7:50:00 PM,76,0,76.2,1,1,0,1,1,76.5,0,0
12/9/2017 8:00:00 PM,76,0,77.5,1,1,0,1,1,76.5,0,0
12/9/2017 8:10:00 PM,76,0,76,0,0,0,1,0,76.7,1,0
12/9/2017 8:20:00 PM,76,0,75.8,0,0,0,1,0,76.7,1,0
12/9/2017 8:30:00 PM,76,0,75.9,0,0,0,1,0,76.7,1,0
12/9/2017 8:40:00 PM,76,0,75.6,0,0,0,1,0,76.7,1,0
12/9/2017 8:50:00 PM,76,0,75.8,0,0,0,1,0,76.6,1,0
12/9/2017 9:00:00 PM,76,0,75.8,0,0,0,1,0,76.5,1,0
12/9/2017 9:10:00 PM,76,0,75.9,0,0,0,1,0,76.5,1,0
12/9/2017 9:20:00 PM,76,0,75.9,0,0,0,1,0,76.5,1,0
12/9/2017 9:30:00 PM,76,0,76.1,0,0,0,1,0,76.4,1,0
12/9/2017 9:40:00 PM,76,0,76.2,0,0,0,1,0,76.4,1,0
12/9/2017 9:50:00 PM,76,0,76.2,0,0,0,1,0,76.4,1,0
12/9/2017 10:00:00 PM,76,0,76.4,0,0,0,1,0,76.3,1,0
12/9/2017 10:10:00 PM,76,0,76.6,0,0,0,1,0,76.3,1,0
12/9/2017 10:20:00 PM,76,0,76.6,0,0,0,1,0,76.2,1,0
12/9/2017 10:30:00 PM,76,0,76.7,0,0,0,1,0,76.2,1,0
12/9/2017 10:40:00 PM,76,0,76.8,0,0,0,1,0,76.2,1,0
12/9/2017 10:50:00 PM,76,0,77,0,0,0,1,0,76.1,1,0
12/9/2017 11:00:00 PM,76,0,77,0,0,0,1,0,76.2,1,0
12/9/2017 11:10:00 PM,76,0,77.3,0,0,0,1,0,76,1,0
12/9/2017 11:20:00 PM,76,0,77.3,0,0,0,1,0,76,1,0
12/9/2017 11:30:00 PM,76,0,77.5,0,0,0,1,0,76,1,0
12/9/2017 11:40:00 PM,76,0,77.6,0,0,0,1,0,76,1,0
12/9/2017 11:50:00 PM,76,0,77.6,0,0,0,1,0,76,1,0
12/10/2017 12:00:00 AM,76,0,77.7,0,0,0,1,0,76,1,0
12/10/2017 12:10:00 AM,76,0,77.7,0,0,0,1,0,76,1,0
12/10/2017 12:20:00 AM,76,0,77.8,0,0,0,1,0,75.9,1,0
12/10/2017 12:30:00 AM,76,0,77.8,0,0,0,1,0,75.9,1,0
12/10/2017 12:40:00 AM,76,0,77.9,0,0,0,1,0,75.9,1,0
12/10/2017 12:50:00 AM,76,0,78,0,0,0,1,0,75.8,1,0
12/10/2017 1:00:00 AM,76,0,77.9,0,0,0,1,0,75.8,1,0
12/10/2017 1:10:00 AM,76,0,78,0,0,0,1,0,75.8,1,0
12/10/2017 1:20:00 AM,76,0,78.1,0,0,0,1,0,75.8,1,0
12/10/2017 1:30:00 AM,76,0,78.1,0,0,0,1,0,75.7,1,0
12/10/2017 1:40:00 AM,76,0,78.2,0,0,0,1,0,75.7,1,0
12/10/2017 1:50:00 AM,76,0,78.2,0,0,0,1,0,75.7,1,0
12/10/2017 2:00:00 AM,76,0,78.2,0,0,0,1,0,75.7,1,0
12/10/2017 2:10:00 AM,76,0,78.2,0,0,0,1,0,75.7,1,0
12/10/2017 2:20:00 AM,76,0,78.2,0,0,0,1,0,75.6,1,0
12/10/2017 2:30:00 AM,76,0,78.2,0,0,0,1,0,75.6,1,0
12/10/2017 2:40:00 AM,76,0,78.2,0,0,0,1,0,75.6,1,0
12/10/2017 2:50:00 AM,76,0,78.3,0,0,0,1,0,75.6,1,0
12/10/2017 3:00:00 AM,76,0,78.3,0,0,0,1,0,75.5,1,0
12/10/2017 3:10:00 AM,76,0,78.3,0,0,0,1,0,75.5,1,0
12/10/2017 3:20:00 AM,76,0,78.3,0,0,0,1,0,75.5,1,0
12/10/2017 3:30:00 AM,76,0,78.3,0,0,0,1,0,75.4,1,0
12/10/2017 3:40:00 AM,76,0,78.3,0,0,0,1,0,75.5,1,0
12/10/2017 3:50:00 AM,76,0,78.2,0,0,0,1,0,75.4,1,0
12/10/2017 4:00:00 AM,76,0,78.3,0,0,0,1,0,75.4,1,0
12/10/2017 4:10:00 AM,76,0,78.4,0,0,0,1,0,75.4,1,0
12/10/2017 4:20:00 AM,76,0,78.2,0,0,0,1,0,75.4,1,0
12/10/2017 4:30:00 AM,76,0,78.3,0,0,0,1,0,75.4,1,0
12/10/2017 4:40:00 AM,76,0,78.3,0,0,0,1,0,75.4,1,0
12/10/2017 4:50:00 AM,76,0,78.3,0,0,0,1,0,75.4,1,0
12/10/2017 5:00:00 AM,76,0,78.3,0,0,0,1,0,75.3,1,0
12/10/2017 5:10:00 AM,76,0,78.2,0,0,0,1,0,75.3,1,0
12/10/2017 5:20:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 5:30:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 5:40:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 5:50:00 AM,76,0,78.2,0,0,0,1,0,75.2,1,0
12/10/2017 6:00:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 6:10:00 AM,76,0,78.2,0,0,0,1,0,75.2,1,0
12/10/2017 6:20:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 6:30:00 AM,76,0,78.2,0,0,0,1,0,75.2,1,0
12/10/2017 6:40:00 AM,76,0,78.3,0,0,0,1,0,75.2,1,0
12/10/2017 6:50:00 AM,76,0,78.2,0,0,0,1,0,75.2,1,0
12/10/2017 7:00:00 AM,76,0,78.3,0,0,0,1,0,75.1,1,0
12/10/2017 7:10:00 AM,76,0,78.2,0,0,0,1,0,75.2,1,0
12/10/2017 7:20:00 AM,76,0,78.3,0,0,0,1,0,75.1,1,0
