DateTimeStamp,BASSpaceSP,CCValve,DAT,FanSS,FanStatus,HCValve,OADamper,OccupiedMode,SpaceTemp,Occ,stdbusinesshours
12/8/2017 11:20:00 AM,72,0,70.6,1,1,47.17188,0,1,71.6,0,1
12/8/2017 11:30:00 AM,72,0,69.7,1,1,26.49609,0,1,71.6,0,1
12/8/2017 11:40:00 AM,72,0,69.5,1,1,0,0,1,71.3,0,1
12/8/2017 11:50:00 AM,72,0,69.4,1,1,0,0,1,71.2,0,1
12/8/2017 12:00:00 PM,72,0,69.3,1,1,0,0,1,71.3,0,1
12/8/2017 12:10:00 PM,72,0,69.2,1,1,0,0,1,71.1,0,1
12/8/2017 12:20:00 PM,72,0,69.2,1,1,0,0,1,71.2,0,1
12/8/2017 12:30:00 PM,72,0,69.1,1,1,0,0,1,71.1,0,1
12/8/2017 12:40:00 PM,72,0,69,1,1,0,0,1,70.9,0,1
12/8/2017 12:50:00 PM,72,0,68.7,1,1,0,0,1,71.1,0,1
12/8/2017 1:00:00 PM,72,0,69,1,1,0,0,1,70.8,0,1
12/8/2017 1:10:00 PM,72,0,68.9,1,1,0,0,1,70.9,0,1
12/8/2017 1:20:00 PM,72,0,69,1,1,0,0,1,71,0,1
12/8/2017 1:30:00 PM,72,0,68.6,1,1,0,0,1,71.3,0,1
12/8/2017 1:40:00 PM,72,0,68.8,1,1,0,0,1,71.4,0,1
12/8/2017 1:50:00 PM,72,0,68.9,1,1,0,0,1,71.3,0,1
12/8/2017 2:00:00 PM,72,0,68.9,1,1,0,0,1,71.4,0,1
12/8/2017 2:10:00 PM,72,0,68.9,1,1,0,0,1,71.3,0,1
12/8/2017 2:20:00 PM,72,0,68.8,1,1,0,0,1,71.5,0,1
12/8/2017 2:30:00 PM,72,0,68.6,1,1,0,0,1,71.6,0,1
12/8/2017 2:40:00 PM,72,0,68.5,1,1,0,0,1,71.4,0,1
12/8/2017 2:50:00 PM,72,0,68.6,1,1,0,0,1,71.5,0,1
12/8/2017 3:00:00 PM,72,0,68.8,1,1,0,0,1,71.6,0,1
12/8/2017 3:10:00 PM,72,0,68.8,1,1,0,0,1,71.4,0,1
12/8/2017 3:20:00 PM,72,0,68.9,1,1,0,0,1,71.4,0,1
12/8/2017 3:30:00 PM,72,0,68.9,1,1,0,0,1,71.6,0,1
12/8/2017 3:40:00 PM,72,0,68.8,1,1,0,0,1,71.6,0,1
12/8/2017 3:50:00 PM,72,0,68.9,1,1,0,0,1,71.4,0,1
12/8/2017 4:00:00 PM,72,0,68.9,1,1,0,0,1,71.6,0,0
12/8/2017 4:10:00 PM,72,0,68.8,1,1,0,0,1,71.3,0,0
12/8/2017 4:20:00 PM,72,0,68.8,1,1,0,0,1,71.4,0,0
12/8/2017 4:30:00 PM,72,0,68.8,1,1,0,0,1,71.3,0,0
12/8/2017 4:40:00 PM,72,0,68.6,1,1,0,0,1,71.2,0,0
12/8/2017 4:50:00 PM,72,0,68.8,1,1,0,0,1,71.2,0,0
12/8/2017 5:00:00 PM,72,0,68.6,1,1,0,0,1,71.3,0,0
12/8/2017 5:10:00 PM,72,0,68.5,1,1,0,0,1,71.2,0,0
12/8/2017 5:20:00 PM,72,0,68.6,1,1,0,0,1,71.1,0,0
12/8/2017 5:30:00 PM,72,0,68.6,1,1,0,0,1,71.1,0,0
12/8/2017 5:40:00 PM,72,0,68.6,1,1,0,0,1,70.8,0,0
12/8/2017 5:50:00 PM,72,0,68.7,1,1,0,0,1,70.7,0,0
12/8/2017 6:00:00 PM,72,0,69.1,1,1,0,0,1,70.9,0,0
12/8/2017 6:10:00 PM,72,0,69,1,1,0,0,1,70.8,0,0
12/8/2017 6:20:00 PM,72,0,69.1,1,1,0,0,1,70.5,0,0
12/8/2017 6:30:00 PM,72,0,69.2,1,1,0,0,1,70.6,0,0
12/8/2017 6:40:00 PM,72,0,69.1,1,1,0,0,1,70.5,0,0
12/8/2017 6:50:00 PM,72,0,69.3,1,1,0,0,1,70.6,0,0
12/8/2017 7:00:00 PM,72,0,69.4,1,1,0,0,1,70.5,0,0
12/8/2017 7:10:00 PM,72,0,69.3,1,1,0,0,1,70.5,0,0
12/8/2017 7:20:00 PM,72,0,69.4,1,1,0,0,1,70.5,0,0
12/8/2017 7:30:00 PM,72,0,69.4,1,1,0.3862305,0,1,70.3,0,0
12/8/2017 7:40:00 PM,72,0,69.4,1,1,2.483887,0,1,70.3,0,0
12/8/2017 7:50:00 PM,72,0,69.5,1,1,11.82617,0,1,70.3,0,0
12/8/2017 8:00:00 PM,72,0,69.4,1,1,27.64063,0,1,70.2,0,0
12/8/2017 8:10:00 PM,72,0,69.5,1,1,53.35938,0,1,70.3,0,0
12/8/2017 8:20:00 PM,72,0,70.1,1,1,83.70313,0,1,70.1,0,0
12/8/2017 8:30:00 PM,72,0,71,1,1,100,0,1,70.1,0,0
12/8/2017 8:40:00 PM,72,0,71.1,1,1,100,0,1,70.1,0,0
12/8/2017 8:50:00 PM,72,0,71.5,1,1,100,0,1,70.3,0,0
12/8/2017 9:00:00 PM,72,0,72.1,1,1,100,0,1,70.1,0,0
12/8/2017 9:10:00 PM,72,0,72.3,0,0,0,0,0,70,1,0
12/8/2017 9:20:00 PM,72,0,72.1,0,0,0,0,0,70,1,0
12/8/2017 9:30:00 PM,72,0,71.9,0,0,0,0,0,70,1,0
12/8/2017 9:40:00 PM,72,0,71.7,0,0,0,0,0,70.1,1,0
12/8/2017 9:50:00 PM,72,0,71.5,0,0,0,0,0,69.9,1,0
12/8/2017 10:00:00 PM,72,0,71.2,0,0,0,0,0,69.9,1,0
12/8/2017 10:10:00 PM,72,0,71,0,0,0,0,0,69.9,1,0
12/8/2017 10:20:00 PM,72,0,70.8,0,0,0,0,0,69.8,1,0
12/8/2017 10:30:00 PM,72,0,70.6,0,0,0,0,0,69.7,1,0
12/8/2017 10:40:00 PM,72,0,70.3,0,0,0,0,0,69.9,1,0
12/8/2017 10:50:00 PM,72,0,70.3,0,0,0,0,0,69.9,1,0
12/8/2017 11:00:00 PM,72,0,69.9,0,0,0,0,0,69.7,1,0
12/8/2017 11:10:00 PM,72,0,69.8,0,0,0,0,0,69.8,1,0
12/8/2017 11:20:00 PM,72,0,69.6,0,0,0,0,0,69.6,1,0
12/8/2017 11:30:00 PM,72,0,69.5,0,0,0,0,0,69.7,1,0
12/8/2017 11:40:00 PM,72,0,69.4,0,0,0,0,0,69.6,1,0
12/8/2017 11:50:00 PM,72,0,69.2,0,0,0,0,0,69.7,1,0
12/9/2017 12:00:00 AM,72,0,69,0,0,0,0,0,69.6,1,0
12/9/2017 12:10:00 AM,72,0,68.9,0,0,0,0,0,69.4,1,0
12/9/2017 12:20:00 AM,72,0,68.9,0,0,0,0,0,69.3,1,0
12/9/2017 12:30:00 AM,72,0,68.7,0,0,0,0,0,69.2,1,0
12/9/2017 12:40:00 AM,72,0,68.6,0,0,0,0,0,69.3,1,0
12/9/2017 12:50:00 AM,72,0,68.4,0,0,0,0,0,69.2,1,0
12/9/2017 1:00:00 AM,72,0,0,0,0,0,0,0,69.2,1,0
12/9/2017 1:10:00 AM,72,0,68.3,0,0,0,0,0,69.3,1,0
12/9/2017 1:20:00 AM,72,0,68.2,0,0,0,0,0,69.2,1,0
12/9/2017 1:30:00 AM,72,0,68.1,0,0,0,0,0,69.1,1,0
12/9/2017 1:40:00 AM,72,0,68.2,0,0,0,0,0,69.1,1,0
12/9/2017 1:50:00 AM,72,0,68,0,0,0,0,0,69,1,0
12/9/2017 2:00:00 AM,72,0,67.9,0,0,0,0,0,68.9,1,0
12/9/2017 2:10:00 AM,72,0,67.9,0,0,0,0,0,68.9,1,0
12/9/2017 2:20:00 AM,72,0,67.8,0,0,0,0,0,68.9,1,0
12/9/2017 2:30:00 AM,72,0,67.8,0,0,0,0,0,68.7,1,0
12/9/2017 2:40:00 AM,72,0,67.8,0,0,0,0,0,68.7,1,0
12/9/2017 2:50:00 AM,72,0,67.7,0,0,0,0,0,68.8,1,0
12/9/2017 3:00:00 AM,72,0,67.6,0,0,0,0,0,68.5,1,0
12/9/2017 3:10:00 AM,72,0,67.6,0,0,0,0,0,68.5,1,0
12/9/2017 3:20:00 AM,72,0,67.5,0,0,0,0,0,68.4,1,0
12/9/2017 3:30:00 AM,72,0,67.5,0,0,0,0,0,68.4,1,0
12/9/2017 3:40:00 AM,72,0,67.5,0,0,0,0,0,68.5,1,0
12/9/2017 3:50:00 AM,72,0,67.4,0,0,0,0,0,68.4,1,0
12/9/2017 4:00:00 AM,72,0,67.3,0,0,0,0,0,68.3,1,0
12/9/2017 4:10:00 AM,72,0,67.4,0,0,0,0,0,68.3,1,0
12/9/2017 4:20:00 AM,72,0,67.3,0,0,0,0,0,68.3,1,0
12/9/2017 4:30:00 AM,72,0,67.2,0,0,0,0,0,68.2,1,0
12/9/2017 4:40:00 AM,72,0,67.3,0,0,0,0,0,68.2,1,0
12/9/2017 4:50:00 AM,72,0,67.3,0,0,0,0,0,68.3,1,0
12/9/2017 5:00:00 AM,72,0,67.1,0,0,0,0,0,68.2,1,0
12/9/2017 5:10:00 AM,72,0,67.1,0,0,0,0,0,68.2,1,0
12/9/2017 5:20:00 AM,72,0,67,0,0,0,0,0,68.1,1,0
12/9/2017 5:30:00 AM,72,0,67,0,0,0,0,0,67.9,1,0
12/9/2017 5:40:00 AM,72,0,67,0,0,0,0,0,68.1,1,0
12/9/2017 5:50:00 AM,72,0,66.9,0,0,0,0,0,67.9,1,0
12/9/2017 6:00:00 AM,72,0,67,0,0,0,0,0,68,1,0
12/9/2017 6:10:00 AM,72,0,66,1,1,91.07813,0,0,67.8,1,0
12/9/2017 6:20:00 AM,72,0,68.2,1,1,100,0,0,67.9,1,0
12/9/2017 6:30:00 AM,72,0,71.9,1,1,100,0,0,67.9,1,0
12/9/2017 6:40:00 AM,72,0,80.6,1,1,100,0,0,67.8,1,0
12/9/2017 6:50:00 AM,72,0,84.7,1,1,100,0,0,68.1,1,0
12/9/2017 7:00:00 AM,72,0,91.5,1,1,100,0,0,68.2,1,0
12/9/2017 7:10:00 AM,72,0,89.4,1,1,100,0,0,68.7,1,0
12/9/2017 7:20:00 AM,72,0,87,1,1,100,0,0,69.2,1,0
12/9/2017 7:30:00 AM,72,0,86.2,1,1,100,0,0,69.5,1,0
12/9/2017 7:40:00 AM,72,0,83.3,1,1,100,0,0,69.7,1,0
12/9/2017 7:50:00 AM,72,0,89.2,1,1,100,0,0,69.9,1,0
12/9/2017 8:00:00 AM,72,0,89.2,1,1,100,0,0,70.1,1,0
12/9/2017 8:10:00 AM,72,0,76.5,1,1,100,0,1,70.3,0,0
12/9/2017 8:20:00 AM,72,0,79,1,1,100,0,1,70.3,0,0
12/9/2017 8:30:00 AM,72,0,79.4,1,1,100,0,1,70.2,0,0
12/9/2017 8:40:00 AM,72,0,77.1,1,1,100,0,1,70.3,0,0
12/9/2017 8:50:00 AM,72,0,81.3,1,1,100,0,1,70.2,0,0
12/9/2017 9:00:00 AM,72,0,79.4,1,1,100,0,1,70.4,0,0
12/9/2017 9:10:00 AM,72,0,73.4,1,1,100,0,1,70.5,0,0
12/9/2017 9:20:00 AM,72,0,73.7,1,1,100,0,1,70.2,0,0
12/9/2017 9:30:00 AM,72,0,73.6,1,1,100,0,1,70.2,0,0
12/9/2017 9:40:00 AM,72,0,75.9,1,1,100,0,1,70.3,0,0
12/9/2017 9:50:00 AM,72,0,79.1,1,1,100,0,1,70.2,0,0
12/9/2017 10:00:00 AM,72,0,76.3,1,1,100,0,1,70.1,0,0
12/9/2017 10:10:00 AM,72,0,72.5,1,1,100,0,1,70.1,0,0
12/9/2017 10:20:00 AM,72,0,74.6,1,1,100,0,1,70.1,0,0
12/9/2017 10:30:00 AM,72,0,74,1,1,100,0,1,69.9,0,0
12/9/2017 10:40:00 AM,72,0,76.2,1,1,100,0,1,70.1,0,0
12/9/2017 10:50:00 AM,72,0,77.1,1,1,100,0,1,70.1,0,0
12/9/2017 11:00:00 AM,72,0,75.4,1,1,100,0,1,70,0,0
12/9/2017 11:10:00 AM,72,0,73.1,1,1,100,0,1,70,0,0
12/9/2017 11:20:00 AM,72,0,74.7,1,1,100,0,1,70,0,0
12/9/2017 11:30:00 AM,72,0,73.3,1,1,100,0,1,70.1,0,0
12/9/2017 11:40:00 AM,72,0,74.9,1,1,100,0,1,69.8,0,0
12/9/2017 11:50:00 AM,72,0,74.5,1,1,100,0,1,70,0,0
12/9/2017 12:00:00 PM,72,0,75.1,1,1,100,0,1,70,0,0
12/9/2017 12:10:00 PM,72,0,75.8,1,1,100,0,1,70,0,0
12/9/2017 12:20:00 PM,72,0,73.4,1,1,100,0,1,70,0,0
12/9/2017 12:30:00 PM,72,0,72.2,1,1,100,0,1,69.9,0,0
12/9/2017 12:40:00 PM,72,0,75,1,1,100,0,1,69.8,0,0
12/9/2017 12:50:00 PM,72,0,74.8,1,1,100,0,1,70,0,0
12/9/2017 1:00:00 PM,72,0,70.9,1,1,100,0,1,69.7,0,0
12/9/2017 1:10:00 PM,72,0,70.4,1,1,100,0,1,69.7,0,0
12/9/2017 1:20:00 PM,72,0,70.9,1,1,100,0,1,69.6,0,0
12/9/2017 1:30:00 PM,72,0,73.6,1,1,100,0,1,69.6,0,0
12/9/2017 1:40:00 PM,72,0,74.4,1,1,100,0,1,69.7,0,0
12/9/2017 1:50:00 PM,72,0,71,1,1,100,0,1,69.6,0,0
12/9/2017 2:00:00 PM,72,0,71.8,1,1,100,0,1,69.7,0,0
12/9/2017 2:10:00 PM,72,0,71.5,1,1,100,0,1,69.6,0,0
12/9/2017 2:20:00 PM,72,0,71.8,1,1,100,0,1,69.4,0,0
12/9/2017 2:30:00 PM,72,0,73.4,1,1,100,0,1,69.5,0,0
12/9/2017 2:40:00 PM,72,0,78,1,1,100,0,1,69.3,0,0
12/9/2017 2:50:00 PM,72,0,74.1,1,1,100,0,1,69.4,0,0
12/9/2017 3:00:00 PM,72,0,70.2,1,1,100,0,1,69.7,0,0
12/9/2017 3:10:00 PM,72,0,73.7,1,1,100,0,1,69.5,0,0
12/9/2017 3:20:00 PM,72,0,72.5,1,1,100,0,1,69.4,0,0
12/9/2017 3:30:00 PM,72,0,74.2,1,1,100,0,1,69.5,0,0
12/9/2017 3:40:00 PM,72,0,75.9,1,1,100,0,1,69.6,0,0
12/9/2017 3:50:00 PM,72,0,71.7,1,1,100,0,1,69.6,0,0
12/9/2017 4:00:00 PM,72,0,70.9,1,1,100,0,1,69.4,0,0
12/9/2017 4:10:00 PM,72,0,72.3,1,1,100,0,1,69.5,0,0
12/9/2017 4:20:00 PM,72,0,70.7,1,1,100,0,1,69.4,0,0
12/9/2017 4:30:00 PM,72,0,72.4,1,1,100,0,1,69.5,0,0
12/9/2017 4:40:00 PM,72,0,71.5,1,1,100,0,1,69.5,0,0
12/9/2017 4:50:00 PM,72,0,71.1,1,1,100,0,1,69.2,0,0
12/9/2017 5:00:00 PM,72,0,72.2,1,1,100,0,1,69.3,0,0
12/9/2017 5:10:00 PM,72,0,72.6,1,1,100,0,1,69.4,0,0
12/9/2017 5:20:00 PM,72,0,72.2,1,1,100,0,1,69.2,0,0
12/9/2017 5:30:00 PM,72,0,73.4,1,1,100,0,1,69.2,0,0
12/9/2017 5:40:00 PM,72,0,73.1,1,1,100,0,1,69.4,0,0
12/9/2017 5:50:00 PM,72,0,70.9,1,1,100,0,1,69.2,0,0
12/9/2017 6:00:00 PM,72,0,71.1,1,1,100,0,1,69.2,0,0
12/9/2017 6:10:00 PM,72,0,71.3,1,1,100,0,1,69.2,0,0
12/9/2017 6:20:00 PM,72,0,71.6,1,1,100,0,1,69.2,0,0
12/9/2017 6:30:00 PM,72,0,77.8,1,1,100,0,1,69,0,0
12/9/2017 6:40:00 PM,72,0,70.6,1,1,100,0,1,69.1,0,0
12/9/2017 6:50:00 PM,72,0,72.4,1,1,100,0,1,69.1,0,0
12/9/2017 7:00:00 PM,72,0,72.9,1,1,100,0,1,69.1,0,0
12/9/2017 7:10:00 PM,72,0,73.1,1,1,100,0,1,69.2,0,0
12/9/2017 7:20:00 PM,72,0,73.8,1,1,100,0,1,69.1,0,0
12/9/2017 7:30:00 PM,72,0,72.9,1,1,100,0,1,69.2,0,0
12/9/2017 7:40:00 PM,72,0,70.7,1,1,100,0,1,69.2,0,0
12/9/2017 7:50:00 PM,72,0,70.7,1,1,100,0,1,69.1,0,0
12/9/2017 8:00:00 PM,72,0,71.4,1,1,100,0,1,69.2,0,0
12/9/2017 8:10:00 PM,72,0,71.2,0,0,0,0,0,69,1,0
12/9/2017 8:20:00 PM,72,0,71.7,0,0,0,0,0,69,1,0
12/9/2017 8:30:00 PM,72,0,71.8,0,0,0,0,0,68.7,1,0
12/9/2017 8:40:00 PM,72,0,71.6,0,0,0,0,0,68.7,1,0
12/9/2017 8:50:00 PM,72,0,71.5,0,0,0,0,0,68.6,1,0
12/9/2017 9:00:00 PM,72,0,71.3,0,0,0,0,0,68.8,1,0
12/9/2017 9:10:00 PM,72,0,70.9,0,0,0,0,0,68.6,1,0
12/9/2017 9:20:00 PM,72,0,70.8,0,0,0,0,0,68.3,1,0
12/9/2017 9:30:00 PM,72,0,70.6,0,0,0,0,0,68.4,1,0
12/9/2017 9:40:00 PM,72,0,70.3,0,0,0,0,0,68.2,1,0
12/9/2017 9:50:00 PM,72,0,70.2,0,0,0,0,0,68.2,1,0
12/9/2017 10:00:00 PM,72,0,70,0,0,0,0,0,68.3,1,0
12/9/2017 10:10:00 PM,72,0,69.8,0,0,0,0,0,68.2,1,0
12/9/2017 10:20:00 PM,72,0,69.6,0,0,0,0,0,68,1,0
12/9/2017 10:30:00 PM,72,0,69.4,0,0,0,0,0,68,1,0
12/9/2017 10:40:00 PM,72,0,69.2,0,0,0,0,0,67.9,1,0
12/9/2017 10:50:00 PM,72,0,69,0,0,0,0,0,67.9,1,0
12/9/2017 11:00:00 PM,72,0,68.9,0,0,0,0,0,67.7,1,0
12/9/2017 11:10:00 PM,72,0,68.7,0,0,0,0,0,67.7,1,0
12/9/2017 11:20:00 PM,72,0,68.5,0,0,0,0,0,67.7,1,0
12/9/2017 11:30:00 PM,72,0,68.5,0,0,0,0,0,67.5,1,0
12/9/2017 11:40:00 PM,72,0,68.2,0,0,0,0,0,67.5,1,0
12/9/2017 11:50:00 PM,72,0,68.2,0,0,0,0,0,67.5,1,0
12/10/2017 12:00:00 AM,72,0,68,0,0,0,0,0,67.6,1,0
12/10/2017 12:10:00 AM,72,0,67.9,0,0,0,0,0,67.4,1,0
12/10/2017 12:20:00 AM,72,0,67.9,0,0,0,0,0,67.3,1,0
12/10/2017 12:30:00 AM,72,0,67.7,0,0,0,0,0,67.3,1,0
12/10/2017 12:40:00 AM,72,0,67.6,0,0,0,0,0,67.1,1,0
12/10/2017 12:50:00 AM,72,0,67.6,0,0,0,0,0,67.1,1,0
12/10/2017 1:00:00 AM,72,0,67.4,0,0,0,0,0,67.1,1,0
12/10/2017 1:10:00 AM,72,0,67.4,0,0,0,0,0,67.1,1,0
12/10/2017 1:20:00 AM,72,0,67.3,0,0,0,0,0,67,1,0
12/10/2017 1:30:00 AM,72,0,67.1,0,0,0,0,0,66.8,1,0
12/10/2017 1:40:00 AM,72,0,67.1,0,0,0,0,0,67,1,0
12/10/2017 1:50:00 AM,72,0,67,0,0,0,0,0,66.7,1,0
12/10/2017 2:00:00 AM,72,0,67,0,0,0,0,0,66.7,1,0
12/10/2017 2:10:00 AM,72,0,66.9,0,0,0,0,0,66.6,1,0
12/10/2017 2:20:00 AM,72,0,66.8,0,0,0,0,0,66.5,1,0
12/10/2017 2:30:00 AM,72,0,66.7,0,0,0,0,0,66.7,1,0
12/10/2017 2:40:00 AM,72,0,66.6,0,0,0,0,0,66.6,1,0
12/10/2017 2:50:00 AM,72,0,66.5,0,0,0,0,0,66.5,1,0
12/10/2017 3:00:00 AM,72,0,66.4,0,0,0,0,0,66.3,1,0
12/10/2017 3:10:00 AM,72,0,66.4,0,0,0,0,0,66.3,1,0
12/10/2017 3:20:00 AM,72,0,66.3,0,0,0,0,0,66.4,1,0
12/10/2017 3:30:00 AM,72,0,66.2,0,0,0,0,0,66.1,1,0
12/10/2017 3:40:00 AM,72,0,66.2,0,0,0,0,0,66.1,1,0
12/10/2017 3:50:00 AM,72,0,66.2,0,0,0,0,0,66.2,1,0
12/10/2017 4:00:00 AM,72,0,66,0,0,0,0,0,66.1,1,0
12/10/2017 4:10:00 AM,72,0,66,0,0,0,0,0,66.1,1,0
12/10/2017 4:20:00 AM,72,0,65.9,0,0,0,0,0,66.1,1,0
12/10/2017 4:30:00 AM,72,0,65.8,0,0,0,0,0,66,1,0
12/10/2017 4:40:00 AM,72,0,65.7,0,0,0,0,0,65.9,1,0
12/10/2017 4:50:00 AM,72,0,65.8,0,0,0,0,0,65.9,1,0
12/10/2017 5:00:00 AM,72,0,65.7,0,0,0,0,0,65.9,1,0
12/10/2017 5:10:00 AM,72,0,65.7,0,0,0,0,0,65.7,1,0
12/10/2017 5:20:00 AM,72,0,65.5,0,0,0,0,0,65.7,1,0
12/10/2017 5:30:00 AM,72,0,65.6,0,0,0,0,0,65.7,1,0
12/10/2017 5:40:00 AM,72,0,65.4,0,0,0,0,0,65.6,1,0
12/10/2017 5:50:00 AM,72,0,65.5,0,0,0,0,0,65.5,1,0
12/10/2017 6:00:00 AM,72,0,65.4,0,0,0,0,0,65.6,1,0
12/10/2017 6:10:00 AM,72,0,65.5,0,0,0,0,0,65.6,1,0
12/10/2017 6:20:00 AM,72,0,65.3,0,0,0,0,0,65.7,1,0
12/10/2017 6:30:00 AM,72,0,65.3,0,0,0,0,0,65.5,1,0
12/10/2017 6:40:00 AM,72,0,65.3,0,0,0,0,0,65.3,1,0
12/10/2017 6:50:00 AM,72,0,65.1,0,0,0,0,0,65.5,1,0
12/10/2017 7:00:00 AM,72,0,65.2,0,0,0,0,0,65.3,1,0
